Název;E-mail;Telefon;Kategorie
"Pal-Mar s.r.o.";ubytovanie@hotelgula.sk;"0905 226 534";Ubytovanie
"HP TRONIC, s.r.o.";rezervace@valachy.cz;"+420 571 477 300 | +420 571 495 500";Ubytovanie
"PRI MLYNE HOTEL A RESTAURANT s.r.o.";rezervacie@primlyne.sk;"02 6029 7611";Ubytovanie
"FESTA - BEST s. r. o.";info@terchovavratna.sk;"0948 484 8810948 484 8880948 484 885 | 0948 484 881";Ubytovanie
"Country Saloon Belá, s.r.o.";country@countrybela.sk;"041 5693 6210918 940 403 | 041 5693 621";Ubytovanie
"MABOM s.r.o.";recepcia@hotelrelax.sk;"0911 092 7040911 623 265 | 0911 092 704";Ubytovanie
"MOUNTAIN GATE Suites & Spa, s. r. o.";recepcia@hotelsport.sk;"0902 898 900048 4299 020 | 0902 898 900";Ubytovanie
"PROPERTY HOLDING, a.s.";recepcia@hotelchopok.sk;"044 5591 488";Ubytovanie
"Hotel Senec a.s.";recepcia@hotelsenec.sk;"02 4592 7255";Ubytovanie
"Termal DS, s.r.o.";info@strehova.sk;"047 4308 811";Ubytovanie
"SILVER SPOON s.r.o.";reservation@hotelslovan.sk;;Ubytovanie
"BAD, s.r.o.";rezervacie@hotelkaskady.sk;"045 5300 026";Ubytovanie
"PLAUTER, s.r.o.";info@plauterkuria.sk;"0917 232 545";Ubytovanie
"Brecko Ján";info@hotelmerkur.sk;"056 6492 379";Ubytovanie
"Hotel Prameň Dudince s. r. o.";info.pramen@gmail.com;"045 5244 1000915 532 513 | 045 5244 100";Ubytovanie
"Dam Hotel, s.r.o.";hotel@hoteldam.sk;"055 6961 301";Ubytovanie
"Kúpeľno-rehabilitačný ústav Ministerstva vnútra SR Bystrá";info@krubystra.sk;"044 5263 201 | 044 5263 196 | 00735540";Ubytovanie
"Marlene s. r. o.";marlene@marlene.sk;"041 4382 732041 4382 733 | 041 4382 732";Ubytovanie
"MTF Hotel, s.r.o.";info@hotelmontfort.sk;"052 7895 622";Ubytovanie
"Zemplínska šírava, s.r.o.";info@thermalsirava.sk;"0940 600 944";Ubytovanie
"Chudá Renáta, Ing.";marketing@polianka.sk;"0908 676 144";Ubytovanie
"Hotel Eurobus s.r.o.";recepcia@hoteleurobus.sk;"056 6492 1290908 783 632 | 056 6492 129";Ubytovanie
"PARKHOTEL na Baračke, s. r. o.";recepcia@parkhotelnabaracke.sk;"0905 656 868";Ubytovanie
"KORYTKO - Milan Korytko";studnicky@hoteldargov.sk;"056 6783 799";Ubytovanie
"Ekostavby, s.r.o.";tartuf@tartuf.sk;"037 6330 680";Ubytovanie
"Kimex Group, s.r.o.";oravskyhaj@oravskyhaj.sk;"043 5393 781";Ubytovanie
"GOLF INTERNATIONAL, s.r.o.";international@golfinter.sk;"052 4661 111";Ubytovanie
"TENIS CENTRUM, s.r.o.";info@hoteltenis.sk;"0915 988 811045 5322 373 | 0915 988 811 | 045 5322 369";Ubytovanie
"Centrál s.r.o.";termal@remeslo.com;"045 6787 611 | 045 678 76 66";Ubytovanie
"Kaskády, s.r.o.";recepcia@kaskady.sk;"031 7883 333";Ubytovanie
"PPA Invest s.r.o.";recepcia@amresort.sk;"0911 854 304";Ubytovanie
"PERLA - Zelená Voda, s.r.o.";hotel@hotelperla.sk;"032 7713 9030911 724 325 | 032 7713 903";Ubytovanie
"PRO GLOBAL, s.r.o.";recepcia@hoteldomasa.sk;"057 4494 2740908 854 807 | 057 4494 274";Ubytovanie
"Mores Resort, a. s.";reception@hotellomnica.sk;"052 2853 500";Ubytovanie
"Profilex s.r.o.";bystrica@penzionbystrica.sk;"042 4262 5860905 841 920 | 042 4262 586 | 042 4262 585";Ubytovanie
"SPN plus, s.r.o.";espeen@espeen.sk;"043 5823 6910911 222 806 | 043 5823 691";Ubytovanie
"LIMBA ŠK, spol. s r.o.";limbask@sinet.sk;"052 7894 0220905 368 275 | 052 7894 022";Ubytovanie
"Pútnický mlyn, s. r. o.";info@putnickymlyn.sk;"0904 996 4700903 227 440 | 0904 996 470";Ubytovanie
"Polák Karol";karolpolakx@zoznam.sk;"034 6583 1440904 613 553 | 034 6583 144";Ubytovanie
"U Vinca - Peter Kvasna";uvinca@uvinca.sk;"0907 818 3790905 546 228 | 0907 818 379";Ubytovanie
"Drábek Jiří, Ing.";drabek.ujakuba@gmail.com;"0903 248 145";Ubytovanie
"Heriban, s.r.o.";cerovanka@cerovanka.sk;"0903 232 3580903 524 8250903 232 360 | 0903 232 358";Ubytovanie
"TARB, s.r.o.";penzionjordan@gmail.com;"0904 374 537";Ubytovanie
"K - Ross real, s.r.o.";horseinn@horseinn.sk;"055 6231 4230915882018 | 055 6231 423";Ubytovanie
"RTC, s.r.o.";r-t-c@r-t-c.sk;"0918 718 829";Ubytovanie
"Salur s.r.o.";salur@salur.sk;"035 6506 060";Ubytovanie
"Balla Bartolomej";recepcia@villi.sk;;Ubytovanie
"Penzión Set, s.r.o.";penzionset@penzionset.sk;"055 7880 311";Ubytovanie
"A B LUX, s.r.o.";penzionlux@penzionlux.eu;"037 6923 1110948 733 944 | 037 6923 111 | 037 6923 110";Ubytovanie
"TRIANGLE GROUP INTERNATIONAL, s.r.o.";tgi@tgi.sk;"052 7878 4110905 633 777 | 052 7878 411 | 052 4522 550";Ubytovanie
"PENZIÓN U BARBORKY - Ing. Lenka Dinghová";ddinghova@zoznam.sk;"0914 175 095";Ubytovanie
"Daubnerová Soňa";penziontomino@penziontomino.sk;"045 6921 307";Ubytovanie
"KLAS - Ľubomír Chrien";info@penzionzlatydukat.sk;"045 5394 7460908 900 484 | 045 5394 746";Ubytovanie
"Zada Group, s.r.o.";info@rusovskypenzion.sk;"0903 825 282 | +421 2 6285 9305";Ubytovanie
"Almada, spol. s r.o.";almada@almada.sk;"045 5323 280";Ubytovanie
"EMTES s.r.o.";recepcia@hotelemtes.sk;"0911 655 92202 4592 4563 | 0911 655 922";Ubytovanie
"Vrtiel Radoslav, Mgr.";info@penzionorion.sk;"0915 752 937";Ubytovanie
"GB Services Plus s.r.o.";penzion@grillbar.sk;"0902 506 056";Ubytovanie
"Pegas J&M s.r.o.";info@avenue7.sk;"0907 933 301";Ubytovanie
"Residence BS, s.r.o.";recepcia@reslaresidence.sk;"0918 802 995";Ubytovanie
"Byvex - Ing. Roman Turba";aria@aria.sk;"037 6517 739";Ubytovanie
"Menyhárt Csaba";penziongreenhouse@gmail.com;"0905 131 3640905 445 288 | 0905 131 364";Ubytovanie
"Drevovýroba a obchod - Stanislav Taliga";;"0903 645 4560905 768 013 | 0903 645 456";Ubytovanie
"Penzión ROSY - Ing. Ján Ružička";info@penzion-rosy.sk;"034 6213 4300911 450 879 | 034 6213 430";Ubytovanie
"Zuckmann Villa s.r.o.";info@zuckmann.sk;"0948 446 766";Ubytovanie
"Zlatá Noha, s.r.o.";zlatanoha@zlatanoha.sk;"02 5477 49220903 427 138 | 02 5477 4922";Ubytovanie
"Modlová Zuzana";penzionujakuba@gmail.com;"052 4526 3150907 993 638 | 052 4526 315";Ubytovanie
"Tib-Bra, spol. s r. o.";sladky.sen@pobox.sk;"051 7719 881";Ubytovanie
"Bača Juraj";litovel@litovel.sk;"0903 443 885";Ubytovanie
"ALTANA Group, s.r.o.";altana@altana.sk;"0940 236 446038 5319 219 | 0940 236 446";Ubytovanie
"IP-DESIGN - Imrich Panyik";toldi@restauraciatoldi.sk;"0918 402 242";Ubytovanie
"Roval, s.r.o.";penzion@penzionproxima.com;"057 7720 098";Ubytovanie
"Byron - Ing. Juraj Mikler";penzion@byron.sk;"037 6426 7010903 755 1910902 755 225 | 037 6426 701 | 037 642 67 03";Ubytovanie
"Slovakia Real - Tour s.r.o.";info@slamenydom.sk;"055 7297 996";Ubytovanie
"MELIS - Ing. Miroslav Eliáš";penzionmelis@gmail.com;"0908 338 883";Ubytovanie
"ABC Centrum, spol. s r.o.";penzion@hellene.sk;"033 7721 931 | 033 7722 542";Ubytovanie
"Uhlisko, s.r.o.";pension@uhlisko.sk;"048 4115 505";Ubytovanie
"Švec Mario";pension@tiberia.sk;"032 7441 584";Ubytovanie
"GSK real s. r. o.";info@penzion-anita.sk;"0904 525 555";Ubytovanie
"Luxor 3SP, s.r.o.";penzionluxor@rijak.sk;"033 3211 8920903 379 369 | 033 3211 892";Ubytovanie
"Fast Money s.r.o.";recepcia@penziongremium.sk;"02 2071 36860911 118 123 | 02 2071 3686";Ubytovanie
"Penzion Arcadia s.r.o.";penzionarcadia.nz@gmail.com;"0902 593 616";Ubytovanie
"Kaltenbach Rudolf, Ing.";rezervacia@penzionskalica.sk;"0918 364 177";Ubytovanie
"Fehérpataky Vladimír";vladimir.feherpataky@gmail.com;"0903 606 646";Ubytovanie
"Squash Liptov s.r.o.";info@squash-liptov.sk;"044 5620 053";Ubytovanie
"Reštaurácia Eden - Ján Lukáč";edenubytovanie@edenubytovanie.sk;"0905 252 766";Ubytovanie
"Tiberia spol. s r.o.";penzionmarriot@gmail.com;"0903 840 7500903 812 757 | 0903 840 750";Ubytovanie
"Ferdinand, s.r.o.";restaurant@ferdinand.sk;"055 4898 8110917 695 416 | 055 4898 811";Ubytovanie
"Archia Slovakia, s.r.o.";archia@zmail.sk;"047 4334 0430908 160 218 | 047 4334 043";Ubytovanie
"PREMONA, s.r.o.";premonanitra@gmail.com;"0905 606 0330905 479 277037 6533 185 | 0905 606 033";Ubytovanie
"STAVBET - OP, s.r.o.";stavbetinfo@gmail.com;"0908 988 752";Ubytovanie
"Bučko Peter";info@cerveny-mak.sk;"052 7721 3570903 675 459 | 052 7721 357";Ubytovanie
"Gurega Mary Ann";gurmen@gurmen.sk;"052 4281 811 | 052 4281 802";Ubytovanie
"JOVO - Daniela Vorlová";info@penzionrajecketeplice.sk;"0905 273 398041 5493 528 | 0905 273 398";Ubytovanie
"Ekoprim, s.r.o.";bellasicilia@ekoprim.sk;"051 7481 1190917 988 908 | 051 7481 119";Ubytovanie
"Relish s.r.o.";relish@relish.sk;"0911 494 940";Ubytovanie
"RETRIS, s.r.o.";penzionluna@penzionluna.sk;"0902 653 6720903 408 249 | 0902 653 672";Ubytovanie
"BRUDER, s.r.o.";info@penzionbruder.sk;"0948 688 8620948 171 183 | 0948 688 862";Ubytovanie
"BFH - spol. s r.o.";;"057 7321 855";Ubytovanie
"GAPA Šahy, spol. s r.o.";gapamotel@gmail.com;"0903 427 771";Ubytovanie
"Lopušný Pavol, Ing.";info@activitysport.sk;"0905 228 215";Ubytovanie
"IMPA autoalarmy, s.r.o.";recepcia@banskydom.sk;"045 5382 725";Ubytovanie
"Penzion Milka - Peter Krško";penzion@penzion-milka.sk;"0903 554 591";Ubytovanie
"PENZIÓN Hradbová s. r. o.";recepcia@penzionhradbova.sk;"0918 698 502";Ubytovanie
"TOSCANA NITRA s.r.o.";info@pizzeriatoscana.sk;"0902 065 2650917 105 153 | 0902 065 265";Ubytovanie
"Dunčko Matúš";venusa@venusa.eu;"053 4423 957";Ubytovanie
"Nagy Alexander";info@nevada-pub.sk;"0944 250 595";Ubytovanie
"Škorpión I. - Jana Bittová";info@skorpion-senec.sk;"0907 969 9990905 885 855 | 0907 969 999";Ubytovanie
"MTT 45 s.r.o.";penzion@lamexsro.sk;"0905 659 460";Ubytovanie
"Príjemný oddych s. r. o.";penzion@prijemnyoddych.sk;"0915 511 258";Ubytovanie
"Penzión Astra - Ing. Igor Kováč";info@penzionastra.sk;"033 7744 780";Ubytovanie
"Q 10, s.r.o.";penzion@villaregia.sk;"055 6256 510";Ubytovanie
"ATARI - Pavel Gerek";info@penzionholiday.sk;"0948 203 533";Ubytovanie
"Penzión Duna s.r.o.";info@penzionduna.sk;"035 7732 2730911 317 730 | 035 7732 273";Ubytovanie
"Novák - Penzion, s.r.o.";penzionuh@gmail.com;"0904 474 307043 5865 632 | 0904 474 307";Ubytovanie
"ATUS, s.r.o.";info@penzionresa.sk;"0944 723 343";Ubytovanie
"Košút Jozef";info@penzion-anka.sk;"045 5498 529";Ubytovanie
"Penzión Diana, s.r.o.";info@diana.sk;"033 7744 200";Ubytovanie
"Oáza Prievidza s.r.o.";prievidza@oazapenzion.sk;"0907 720 228";Ubytovanie
"Hiprotec, spol. s r.o.";penzion@druzba.sk;"046 5402 113";Ubytovanie
"Loar-Ve, a.s.";office@villarosa.sk;"031 5902 770";Ubytovanie
"CO - ARCH, s.r.o.";info@penzionq.sk;"0914 222 022";Ubytovanie
"Luki - Ľubica Kislíková";penzion.luki@szm.sk;"0908 323 869";Ubytovanie
"Javistav, s.r.o.";;"0908 988 551";Ubytovanie
"M.F.S., spol. s r.o., Kráľovský Chlmec";penzionitalia@gmail.com;"056 6284 9810905 262 067 | 056 6284 981 | 056 6284 980";Ubytovanie
"STONE PARTNERS, s.r.o.";penzion@penzion-zuzana.sk;"032 6528 2320940 739 373 | 032 6528 232";Ubytovanie
"Brahama, spol. s r.o.";penzion@brahama.sk;"0911 904 024 | 051 7496 982";Ubytovanie
"Penzión Európa s.r.o.";info@penzioneuropa.sk;"031 7712 050031 7712 0510905 380 2670905 164 196 | 031 7712 050 | 031 771 2049";Ubytovanie
"TOMKAT, s.r.o.";info@brahamamarket.sk;"051 7481 9030911 904 024 | 051 7481 903";Ubytovanie
"ZV Consulting s.r.o.";info@usrncika.sk;"0902 182 430";Ubytovanie
"Pantei, s.r.o.";info@penziontrattoria.sk;"051 7763 0200908 971 401 | 051 7763 020";Ubytovanie
"Tatra vive, s.r.o.";zplechova@hotmail.com;"041 4332 402 | 041 4332 401";Ubytovanie
"S. F. s.r.o.";roxypubholic@gmail.com;"0911 146 964";Ubytovanie
"Hradná stráž s.r.o.";recepcia@hradnastraz.sk;"0915 222 864";Ubytovanie
"Real - Bonita spol. s r.o.";epona@penzion-epona.sk;"0905 880 333";Ubytovanie
"NOBA, s.r.o.";recepcia@101penzion.sk;"0911 636 101 | 051 7734 823";Ubytovanie
"PENZION - Oľga Hajašová";o.hajasova@gmail.com;"0904 263 789";Ubytovanie
"Intergal Slovakia, s.r.o.";jaroslav@petran.sk;"044 5522 792";Ubytovanie
"Špecialka s.r.o.";pkonitra@pkonitra.sk;"037 7413 046";Ubytovanie
"Leam s.r.o.";rolando@rolando.sk;"02 6428 21680264536278 | 02 6428 2168";Ubytovanie
"Malá Terézia";info@mala.sk;"02 6286 0256";Ubytovanie
"TrendySlovakia s.r.o.";info@penziontara.sk;"0905 808 5240911 428 022 | 0905 808 524";Ubytovanie
"STAVO - Reall, s.r.o.";stavoreall@stavoreall.sk;"048 6113 713";Ubytovanie
"Sklad obuvi Dunaj - Ladislav Mitták";info@europapenzion.sk;"0948 065 548";Ubytovanie
"Matys František";fmatys@post.sk;"0903 807 298";Ubytovanie
"TILIA - Zuzana Karlíková";recepciatilia@penziontilia.sk;"036 6312 965036 6312 988 | 036 6312 965";Ubytovanie
"HK Trading, s.r.o.";penzion@greenhof.sk;"02 6428 29880903 209 995 | 02 6428 2988";Ubytovanie
"PENZIÓN PRI KAŠTIELI - Annamária Ondíková";info@bratislavapenzion.sk;"02 6285 9112";Ubytovanie
"DDS, s.r.o.";info@penzionmagura.sk;;Ubytovanie
"PENTRIR, s.r.o.";penzionmagnolia@gmail.com;"032 7443 889";Ubytovanie
"Novota Anton";info@penzionzuzana.sk;"034 7726 7880908 416 089 | 034 7726 788";Ubytovanie
"PENZIÓN ROYAL - Jaroslav Dzurec";royal@royalpenzion.sk;"0907 323 645";Ubytovanie
"Murges, s.r.o.";mileniumcafe.penzion@gmail.com;"0905 504 684";Ubytovanie
"Františkánky Marie Immaculaty";tode@frantiskankymi.cz;"+420 604 366 585 | +420 731 118 628 | 00406171";Ubytovanie
"B.aden, s.r.o.";info@baden.sk;"031 5551 1550907 052 1920907 523 858 | 031 5551 155";Ubytovanie
"Paulík Ľuboš";paulik@penzionualzbetky.sk;"0907 663 628052 7769 542 | 0907 663 628";Ubytovanie
"Penzión Siesta - Andrea Mudráková";penzionsiesta@penzionsiesta.sk;"037 7832 106";Ubytovanie
"Hotel, s. r. o.";kosice@penzionrozalia.sk;"055 6339 714";Ubytovanie
"Penzión Grand BB s. r. o.";info@penziongrand.sk;"0911 114 599";Ubytovanie
"Slobodová Ľubica Mgr.";info@penzion-plesnivec.sk;"0902 100 3010911 110 410 | 0902 100 301";Ubytovanie
"J O B A, s.r.o.";panskydom@panskydom.sk;"044 4328 206";Ubytovanie
"BAROKO CLUB - Ľuboslav Kacvinský";ubytovanie@penzionpodbranou.sk;"0904 408 413";Ubytovanie
"Mondo, s.r.o.";info@penzionroyal.sk;"032 6400 660";Ubytovanie
"BALTIC, s.r.o.";info@stpetrusvini.sk;"0908 049 3160949 152 811 | 0908 049 316";Ubytovanie
"PORY - Jozef Porochnavý";porystavsro@gmail.com;"0903 416 4010910 906 425 | 0903 416 401";Ubytovanie
"Kráľov dom s.r.o.";kralovdom@gmail.com;"0911 962 770";Ubytovanie
"CORVIN s.r.o.";info@corvinpenzion.sk;;Ubytovanie
"Spoločenský dom, s.r.o.";;"034 6212 1050917549889 | 034 6212 105";Ubytovanie
"Korona D&V, s.r.o.";korona@koronadv.com;"0903 530 115";Ubytovanie
"Cestoviny Santa Lucia - Giovanni Luigi Scodinu";info@penziondagiacomo.sk;"032 6583 226";Ubytovanie
"Chateau Krakovany s.r.o.";recepcia@chateaukrakovany.sk;"033 7719 140";Ubytovanie
"Madin s.r.o.";uveteranov@uveteranov.sk;"0905 728 584";Ubytovanie
"Podoba Jozef";jozefpodoba@gmail.com;"038 7487 4110908 705615 | 038 7487 411";Ubytovanie
"Termal Bojnice, s.r.o.";info@penziontermal.sk;"0949 112 675";Ubytovanie
"2NH house, s.r.o.";info@penzionanesis.sk;"0905 973 614";Ubytovanie
"Aston - Anna Volochová";reception@penzionaston.eu;"0907 580 081";Ubytovanie
"Atlas, spol. s r.o.";recepcia@penzionkastiel.sk;"047 4831 167";Ubytovanie
"Vot - Vladimír Ožvald";penzionhelios@radiolan.sk;"02 3300 4051";Ubytovanie
"LUMIR - REAL, s.r.o.";penzion@penzionpriparku.sk;"0903 765 212";Ubytovanie
"Penzión Central Park, s. r. o.";recepcia@central-park.sk;"041 5622 021";Ubytovanie
"Pod pyramídou - Bc. Ján Dobrík";penzion@penzionpiramida.sk;"0911 116 647";Ubytovanie
"HUBERT spol. s r.o.";recepcia@penzion-hoffer.sk;"037 6554 0250914 324 141 | 037 6554 025";Ubytovanie
"Penzión Maják - Ján Babic";penzionmajak@penzionmajak.sk;"048 4231 456 | 048 41 429 90";Ubytovanie
"Corso Servis s.r.o.";info@alcorso.sk;"048 381 1189";Ubytovanie
"Penzión Meridiana s.r.o.";office@meridianabojnice.sk;"046 5423 3990910 609 900 | 046 5423 399";Ubytovanie
"Pretzelmayer Group, s.r.o.";villamaura@villamaura.sk;"0948 161 819";Ubytovanie
"Penzión u Sovy - MVDr. Čestmír Vrba";usovy@usovy.sk;"0908 239 155";Ubytovanie
"ENEN s.r.o.";maria@mariapenzion.sk;"032 7433 0580948 008 482 | 032 7433 058";Ubytovanie
"Bar.Bar, s.r.o.";info@penzionpatriot.sk;"0905 612 321033 5512 511 | 0905 612 321";Ubytovanie
"SCARLET, s.r.o.";scarlet@slovanet.sk;"032 7432 840";Ubytovanie
"Winkler & Weber s.r.o.";waw@nextra.sk;"033 6422 6860908 797 868 | 033 6422 686";Ubytovanie
"Antiqua Villa, s.r.o.";info@antiquavilla.sk;"0907 612 315";Ubytovanie
"MINCER, s. r. o.";;"041 5493 1610903 974 004 | 041 5493 161";Ubytovanie
"PENZION 77 GARNI - Klaudia Javorková";rezervacie@penzion77.sk;"0905 516 583033 6400 189 | 0905 516 583";Ubytovanie
"PENZIÓN SV. JURAJ, s.r.o.";info@svjuraj.sk;"052 7769 5580907 516 226 | 052 7769 558 | 052 7769 517";Ubytovanie
"JULIANA - Miloš Sabol";lpotocka@post.sk;"0918 487 2280903 608 515 | 0918 487 228";Ubytovanie
"Bernáthová Janette";bernathova.janette@gmail.com;"058 7882 0020915 909 010 | 058 7882 002";Ubytovanie
"Šlapková Mária";ternopb@centrum.sk;"042 4262 0150903 519 0930911 784 266 | 042 4262 015";Ubytovanie
"DUBOVÁ Rajec, s.r.o.";info@penziondubova.sk;"041 5422 318";Ubytovanie
"MartInn, s.r.o.";info@penzionmartinn.sk;"0917 941 500";Ubytovanie
"Kocianová Ľubica";kocianovamlk@gmail.com;"0903 758 294";Ubytovanie
"KRČMA U NÁMORNÍKA - Ing. Fatima Vovčková";info@unamornika.sk;"0903 650 651";Ubytovanie
"Pro Populo PP a.s.";;;Ubytovanie
"Gardoš Milan";gardos@sinet.sk;"0904 547 667";Ubytovanie
"Trebuľa Juraj";penzionnarozku@gmail.com;"0907 842 697";Ubytovanie
"KARFER s.r.o.";info@penzionpodkastielom.sk;"0917 071 887";Ubytovanie
"Penzión Jarka, s.r.o.";recepcia@penzionjarka.sk;"0911 128 800";Ubytovanie
"Lux - BS, s.r.o.";kachelman@kachelman.sk;"045 6922 319";Ubytovanie
"PENZIÓN CLUB - Stanislav Ivanko";info@penzionclub.sk;"045 5335 566";Ubytovanie
"Formula 2P, a.s.";formula2p@slovanet.sk;"032 6520 253032 6521 404 | 032 6520 253 | 032 652 02 61";Ubytovanie
"Penzión a Reštaurácia u Jeleňa - Pavel Jeleň";info@ujelena.sk;"052 4321 680";Ubytovanie
"ASSO, s.r.o.";;"0915 884 697";Ubytovanie
"Grosz Ist, s.r.o.";info@pensioneden.sk;"036 7710 300";Ubytovanie
"DISTAHO s.r.o.";info@staryhostinec.sk;"0903 755 770";Ubytovanie
"Antonio s.r.o.";info@antoniopension.sk;"0948 898 759";Ubytovanie
"L.M.N INVESTMENT Banská Bystrica, s.r.o.";avio.angels@gmail.com;"045 6723 895";Ubytovanie
"Lonik s.r.o.";furkotka@lonik.sk;"052 4492 167";Ubytovanie
"San Martin, s.r.o.";;"043 4282 111";Ubytovanie
"Dunafer, s.r.o.";info@olymppenzion.sk;"035 7720 1450917 871 787 | 035 7720 145";Ubytovanie
"ALEX - Peter Donič";alexpenzion@gmail.com;"0907 931 555";Ubytovanie
"Ama Centrum s.r.o";info@penzionladoven.sk;"0910 966 966";Ubytovanie
"Penzión Grand s.r.o.";info@penziongrand.com;"031 7011 010 | 031 7011 008";Ubytovanie
"Kotianová Eva";kaviaren@penzionsever.sk;"0903 693 416";Ubytovanie
"Rybársky dvor, s.r.o.";info@rybarskydvor.sk;"033 7914 000";Ubytovanie
"Megyeri Gabriel";vilamariarapovce@gmail.com;"0905 973 756";Ubytovanie
"M+B, spol. s r.o.";info@penzionzdiar.sk;"052 4498 138";Ubytovanie
"Penzion Breza - Milan Chýrik";penzionbreza2187@gmail.com;"0905 170 799056 6442 182 | 0905 170 799";Ubytovanie
"Salaš - Partizánske, s.r.o.";recepcia@salas-partizanske.sk;"0905 625 493";Ubytovanie
"Penzión Bezovec, s.r.o.";penzion@penzion-bezovec.sk;"0917 610 064";Ubytovanie
"Daniella Pienap, s.r.o.";info@penziondaniella.sk;"0907 947 976";Ubytovanie
"Roľnícke družstvo Veľká Rača";penzionsolisko@atlas.sk;"041 4382 990 | 00517950";Ubytovanie
"Z + P stav, spol. s r.o.";zpstav@zpstav.sk;"041 4356 2060908 240 771 | 041 4356 206";Ubytovanie
"Petráš Stanislav, Ing.";liska@gmail.com;"0915 500 414";Ubytovanie
"Poľnohospodárske družstvo LČV so sídlom v Čimhovej";pinia@szm.sk;"0903 515 4670910 227 110 | 0903 515 467 | 00001805";Ubytovanie
"Regecová Helena";recepcia@podtromakorunami.sk;"0918 582 6970904 500 447052 4822 596 | 0918 582 697";Ubytovanie
"Ciriak Miroslav";ciriak@zdiar.sk;"052 4498 3710905 37 61 59 | 052 4498 371";Ubytovanie
"Kramárová Mária";penzion@penzionmaria.sk;"053 4421 649";Ubytovanie
"Sandorf s.r.o.";sandorf@sandorf.sk;"034 6599 002";Ubytovanie
"Paluba Pavol";;"0915 250 4420948 000 672 | 0915 250 442";Ubytovanie
"ISKRA DOS, s.r.o.";info@penzionpodkrivanom.sk;"0947 928 179";Ubytovanie
"Contessa, s.r.o.";e-mama@e-mama.sk;"052 4468 505";Ubytovanie
"Siteková Andrea";;"0905 279 640";Ubytovanie
"SLOV-CONSULTING, s.r.o.";info@penzionuorla.sk;"0903 900 9300903 999 908 | 0903 900 930";Ubytovanie
"Tomaka, s.r.o.";sasanka.raca@gmail.com;"+420 724 616 680";Ubytovanie
"Port Club, s.r.o.";portclub@portclub.sk;"043 5524 064";Ubytovanie
"Silvester - Michal Majchrák";info@penzionsilvester.sk;"0907 845 4000908 246 926 | 0907 845 400";Ubytovanie
"GASTROCENTRUM, spol. s r.o.";info@penzion-viktoria.sk;"0911 163 870";Ubytovanie
"Gejdoš Stanislav";penzion@penzionpribisko.sk;"0907 873 336";Ubytovanie
"Meliško Roman";penzionlili@gmail.com;"0902 986 247";Ubytovanie
"Panoráma - Zoltán Konkoly";vilahermina@vilahermina.sk;"0905 906 6200905 506 840 | 0905 906 620";Ubytovanie
"Sklenár Ivan";penzionanup@gmail.com;"037 7781 487";Ubytovanie
"Zornička Bardejov s.r.o.";zornickabj@zornickabj.sk;"0911 387 382";Ubytovanie
"Erbo s.r.o.";info@penzionister.sk;"0905 850 150";Ubytovanie
"Kočinský Jaroslav";;"0948 103 690";Ubytovanie
"Ballestrem s.r.o.";talismanpenzion@gmail.com;"0911 146 999";Ubytovanie
"PIZZERIA a PENZION ESO - Jana Debnárová";penzion-eso@orvex.sk;;Ubytovanie
"GEJDÁK - Emil Saniga";info@penziongejdak.sk;"044 4320 2970908 961 182 | 044 4320 297";Ubytovanie
"ATTRACT - Ing. Karkó Ján";vintop@vintop-karko.sk;"0905 645 200";Ubytovanie
"Mix-Tempo - Peter Bukovský";info@penziondori.sk;"0907 779 1830908 066 489 | 0907 779 183";Ubytovanie
"Info Donovaly, s.r.o.";penzionumarsa@zoznam.sk;"048 4199 889 | 048 4199 701";Ubytovanie
"Žákovic Marián";penzion@zakovic.sk;"032 7782 403 | 032 7782 277";Ubytovanie
"Granec Vladimír";penzion.ranc@zoznam.sk;"0911 959 717";Ubytovanie
"Klubica Pavol";penzionvasilko@gmail.com;"0905 632 926";Ubytovanie
"PENZIÓN STRACHAN - Jaroslav Strachan";strachan@penzionstrachan.sk;"0905 151 815";Ubytovanie
"Penzion Šiška - Ing. Jana Šišková";penzionsiska@penzionsiska.sk;;Ubytovanie
"IMPRESSION - PhDr. Kornélia Nagyová";info@castel.sk;"031 5693 7500902 717 888 | 031 5693 750";Ubytovanie
"I.K.Z. - Ivan Murdzik";penzion@zivka.sk;"0917 277 777";Ubytovanie
"Lunter Štefan, Ing.";zubrovica@zubrovica.sk;"048 6194 624";Ubytovanie
"SAFIRS - Security services, s. r. o.";penzion@santbernard.sk;"0904 508 508";Ubytovanie
"Sršeň Ján, Ing.";terezia.srsnova@gmail.com;"0905 433 074";Ubytovanie
"Mažgút Martin";bielypotok@gmail.com;"041 5695 950";Ubytovanie
"Rekreačné stredisko Potravinár, s.r.o.";recepcia@oravskahoraren.sk;"0918 494 494043 5524 746 | 0918 494 494";Ubytovanie
"Pico, spol. s r.o.";kozak@penzionkozak.sk;"0905 606 3270915 837 778 | 0905 606 327";Ubytovanie
"i.DEAL, a.s.";skiparkvruzbachy@skiparkvruzbachy.sk;"0905 227 059";Ubytovanie
"PATRIOT Corporation spol. s r.o.";ubytovanie@mlynky.net;"053 4493 3540903 016 8650903 619 194 | 053 4493 354";Ubytovanie
"Agrohont, družstvo";penzion@umlynarky.sk;"045 5551 911";Ubytovanie
"Snow Sport Services, a.s.";donovaly@damisport.sk;"048 4199 3440903 575 123 | 048 4199 344";Ubytovanie
